Fecha/hora,Hora,Estación,Banda,Tarifa base [USD/MWh],Tarifa año [USD/MWh],Demanda [MW],FV [MW],Eólico [MW],Renovable [MW],P neta [MW],Déficit [MW],Excedente renovable [MW],SOC inicio [MWh],Carga desde renovable [MW],Descarga obligatoria [MW],Carga desde red [MW],Descarga económica [MW],Descarga total [MW],SOC fin [MWh],P red para consumo [MW],P red importada total [MW],P exportada [MW],Curtailment / vertido [MW],P T1 neta (+import/-export) [MW],Demanda no abastecida [MW],Costo red horario [USD],Error balance [MW]
2020-10-02 16:00:00,16,Invierno,Resto,65.0,71.74783789062496,16.0,8.006268326359814,10.264999999999999,18.271268326359813,-2.271268326359813,0.0,2.271268326359813,16.594153153581217,2.271268326359813,0.0,0.0,0.0,0.0,18.75185806362304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-02 17:00:00,17,Invierno,Pico,125.0,137.97661132812493,17.0,7.196422814225611,10.2655,17.46192281422561,-0.4619228142256091,0.0,0.4619228142256091,18.75185806362304,0.4619228142256091,0.0,0.0,0.0,0.0,19.190684737137367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-02 18:00:00,18,Invierno,Pico,125.0,137.97661132812493,18.0,7.234139622510183,10.012,17.246139622510185,0.7538603774898149,0.7538603774898149,0.0,19.190684737137367,0.0,0.0,0.0,0.7538603774898149,0.7538603774898149,18.397147497674403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-02 19:00:00,19,Invierno,Pico,125.0,137.97661132812493,18.5,0.0,8.898,8.898,9.602,9.602,0.0,18.397147497674403,0.0,0.0,0.0,5.0684700542307075,5.0684700542307075,13.061915861642081,4.533529945769293,4.533529945769293,0.0,0.0,4.533529945769293,0.0,625.521099271825,0.0
2020-10-02 20:00:00,20,Invierno,Pico,125.0,137.97661132812493,18.0,0.0,9.901,9.901,8.099,8.099,0.0,13.061915861642081,0.0,0.0,0.0,5.0684700542307075,5.0684700542307075,7.726684225609758,3.0305299457692927,3.0305299457692927,0.0,0.0,3.0305299457692927,0.0,418.14225244565324,0.0
2020-10-02 21:00:00,21,Invierno,Pico,125.0,137.97661132812493,16.5,0.0,6.2155000000000005,6.2155000000000005,10.2845,10.2845,0.0,7.726684225609758,0.0,0.0,0.0,5.0684700542307075,5.0684700542307075,2.391452589577435,5.216029945769292,5.216029945769292,0.0,0.0,5.216029945769292,0.0,719.6901365032702,0.0
2020-10-02 22:00:00,22,Invierno,Valle,32.0,35.322012499999985,14.0,0.0,9.112000000000002,9.112000000000002,4.887999999999998,4.887999999999998,0.0,2.391452589577435,0.0,0.0,0.0,0.0,0.0,2.391452589577435,4.887999999999998,4.887999999999998,0.0,0.0,4.887999999999998,0.0,172.65399709999986,0.0
2020-10-02 23:00:00,23,Invierno,Valle,32.0,35.322012499999985,11.0,0.0,10.269,10.269,0.7309999999999999,0.7309999999999999,0.0,2.391452589577435,0.0,0.0,5.0684700542307075,0.0,0.0,7.206499141096607,0.7309999999999999,5.799470054230707,0.0,0.0,5.799470054230707,0.0,204.84895374891263,8.881784197001252e-16
2020-10-03 00:00:00,0,Invierno,Valle,32.0,35.322012499999985,9.5,0.0,9.977500000000001,9.977500000000001,-0.4775000000000009,0.0,0.4775000000000009,7.206499141096607,0.4775000000000009,0.0,1.108737126692902,0.0,0.0,8.713424411454865,0.0,1.108737126692902,0.0,0.0,1.108737126692902,0.0,39.162826648260754,8.881784197001252e-16
2020-10-03 01:00:00,1,Invierno,Valle,32.0,35.322012499999985,9.0,0.0,10.290000000000001,10.290000000000001,-1.290000000000001,0.0,1.290000000000001,8.713424411454865,1.290000000000001,0.0,0.0,0.0,0.0,9.938924411454865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
