Año,Factor FV,SOH inicio,SOH mínimo técnico,SOH final,Capacidad BESS inicio [MWh],Capacidad BESS final [MWh],Ciclos mínimos técnicos,Ciclos máximos permitidos año,Ciclos equivalentes año,Ciclos equivalentes acumulados,EOL alcanzado,Energía demanda [MWh],Energía FV [MWh],Energía eólica [MWh],Energía red Valle [MWh],Energía red Resto [MWh],Energía red Pico [MWh],Carga renovable BESS [MWh],Carga red total [MWh],Descarga obligatoria [MWh],Descarga económica [MWh],Descarga total BESS [MWh],SOC mínimo observado [MWh],Costo red Valle [USD],Costo red Resto [USD],Costo red Pico [USD],Costo energía red [USD],OPEX FV [USD],OPEX eólico [USD],OPEX BESS [USD],OPEX total [USD],Costo potencia contratada [USD],Costo reemplazo BESS [USD],Flujo anual nominal [USD],VP flujo anual [USD],Demanda no abastecida [MWh],Horas no cumple,Cumple demanda,Exportación [MWh],Curtailment [MWh],Modo despacho,Energía red total [MWh],Aumento red vs año 1 [MWh],Aumento red vs año 1 [%],Pérdida FV vs año 1 [MWh],Variación FV vs año 1 [%],SOH BESS inicio [%],SOH BESS final [%],Pérdida capacidad BESS vs nominal [MWh],Costo energía red a precios año 1 [USD],VP costo energía red [USD],Demanda cubierta por red [%]
11,0.95,0.9201671736267928,0.7656249999999999,0.9124095628691652,18.458553502953464,18.30293583115545,14.021633425593228,5996.651093227869,310.3044303051082,3503.617485233391,False,129446.0,32775.74739555296,91431.64166666666,8071.034418397576,11153.62664002389,6035.104288470839,3968.395650837484,1928.695069929277,240.48924137237708,5081.635134119624,5322.1243754920015,1.8458553502953463,330611.40526936215,928043.0297860357,965680.465285584,2224334.900340982,149896.39174228653,470091.847587949,111031.19343701446,731019.43276725,1036868.4807990488,0.0,3992222.813907281,1712195.9355416354,0.0,0,True,19446.18806383717,0.0,económico LP + reserva multianual de degradación,25259.7653468923,720.1948541857964,2.9348307232999375,1380.031469286434,-4.040404040404022,92.01671736267927,91.24095628691651,1.757064168844547,1737646.86904913,953979.1121828126,19.51374731308214
12,0.946,0.9124095628691652,0.76591796875,0.9046917315053582,18.30293583115545,18.148116133997483,14.027131225893596,5700.373794148654,308.7132545522814,3812.330739785672,False,129446.0,32637.74424862431,91431.64166666666,8062.717933959769,11209.986539117155,6059.298106009055,3948.2269991101616,1918.6246826655097,240.5835357946688,5054.250107007874,5294.833642802543,1.8302935831155451,338527.50805643515,956050.7951869812,993790.52506687,2288368.8283102866,153643.8015358437,481844.14377764775,113806.97327293982,749294.9185864312,1062790.1928190251,0.0,4100453.939715743,1628346.6761552813,0.0,0,True,19383.370455403827,0.0,económico LP + reserva multianual de degradación,25332.00257908598,792.4320863794746,3.2292011248322225,1518.0346162150818,-4.444444444444439,91.24095628691651,90.46917315053582,1.9118838660025155,1744068.3621804598,908742.7465786209,19.569552229567527
13,0.942,0.9046917315053582,0.76591796875,0.8970134503309389,18.148116133997483,17.994089813638634,14.032629026193964,5405.693168622568,307.1312469767702,4119.461986762442,False,129446.0,32499.741101695665,91431.64166666666,8054.495344211446,11266.070346209048,6083.709270249265,3928.147993001666,1908.638883754764,240.6778302169605,5027.022326055718,5267.700156272678,1.8148116133997485,346636.8247479618,984854.7866162952,1022739.075940229,2354230.687304486,157484.89657423977,493890.2473720889,116652.14760476332,768027.2915510919,1089359.9476395007,0.0,4211617.926495079,1548603.1710845337,0.0,0,True,19320.571008548333,0.0,económico LP + reserva multianual de degradación,25404.27496066976,864.7044679632563,3.5237147619199702,1656.037763143726,-4.848484848484846,90.46917315053582,89.70134503309389,2.0659101863613643,1750502.0822995123,865645.7379214995,19.62538429976188
14,0.938,0.8970134503309389,0.7662109374999999,0.88937473207421,17.994089813638634,17.84085712540865,14.03812682649434,5112.600048472292,305.5487302691569,4425.0107170316,False,129446.0,32361.73795476702,91431.64166666666,8046.285049876742,11321.860064445353,6108.668861499492,3907.99031974304,1898.7220763404955,240.77212463925235,4999.785812826139,5240.557937465391,1.7994089813638636,354940.56996116065,1014475.0945622696,1052608.4368654145,2422024.1013888447,161422.01898859572,506237.5035563911,119568.45129488235,787227.9738398691,1116593.946330488,0.0,4325846.021559201,1472782.0412767332,0.0,0,True,19258.03913863713,0.0,económico LP + reserva multianual de degradación,25476.813975821588,937.2434831150822,3.819314944381947,1794.04091007237,-5.252525252525242,89.70134503309389,88.93747320742101,2.2191428745913484,1756985.63347244,824604.8477655206,19.68142235049487
15,0.934,0.88937473207421,0.7662109374999999,0.8817757541810978,17.84085712540865,17.68842162887282,14.043624626794708,4821.094942829929,303.95911572449137,4728.969832756091,False,129446.0,32223.734807838373,91431.64166666666,8037.791437305696,11377.703769780572,6133.848224951084,3887.979150648001,1888.523875973016,240.8664190615441,4972.427562463923,5213.293981525468,1.7840857125408651,363430.04413952143,1044965.8420171408,1083370.870460285,2491766.7566169472,165457.56946331062,518893.4411453008,122557.66257725444,806908.6731858659,1144508.7949887502,0.0,4443184.224791563,1400676.9705008382,0.0,0,True,19195.510861446848,0.0,económico LP + reserva multianual de degradación,25549.343432037353,1009.7729393308473,4.114876173692467,1932.0440570010178,-5.656565656565659,88.93747320742101,88.17757541810978,2.3715783711271783,1763491.0991484048,785508.8007332521,19.7374530167308
16,0.93,0.8817757541810978,0.7665039062499999,0.8742168889290026,17.68842162887282,17.53679079191579,14.04912242709508,4531.184949532533,302.35461008380435,5031.324442839896,False,129446.0,32085.73166090973,91431.64166666666,8028.947795445827,11433.428922641177,6159.500428696627,3868.1037947558407,1877.906868878899,240.9607134838358,4944.813910446517,5185.774623930353,1.768842162887282,372105.9318737034,1076335.919454099,1115099.1471782054,2563540.998506008,169594.00869989337,531865.7771739332,125621.60414168578,827081.3900155124,1173121.5148634687,0.0,4563743.903384989,1332113.3417877494,0.0,0,True,19133.01443465564,0.0,económico LP + reserva multianual de degradación,25621.877146783634,1082.3066540771288,4.410454756731806,2070.047203929662,-6.060606060606066,88.17757541810978,87.42168889290026,2.5232092080842072,1770036.7630130216,748273.180665735,19.7934869727791
17,0.926,0.8742168889290026,0.7667968749999998,0.866699069283341,17.53679079191579,17.38598332982382,14.05462022739545,4242.884959676125,300.7127858264682,5332.037228666364,False,129446.0,31947.72851398109,91431.64166666666,8019.347282560285,11489.377242794317,6185.6961779747135,3848.3339061280335,1866.4751836730763,241.05500790612757,4916.560195639375,5157.615203545503,1.7536790791915793,380952.515679672,1108642.9311631515,1147837.5929877523,2637433.039830576,173833.8589173907,545162.4216032816,128762.14424522792,847758.4247659002,1202449.552735055,0.0,4687641.017331531,1266923.822506542,0.0,0,True,19070.596997721463,0.0,económico LP + reserva multianual de degradación,25694.420703329317,1154.8502106228116,4.706073445605125,2208.0503508583024,-6.464646464646462,87.42168889290026,86.6699069283341,2.6740166701761794,1776640.656070399,712816.2621824078,19.849528531842868
18,0.922,0.866699069283341,0.7667968749999998,0.8592230350055894,17.38598332982382,17.236014082212122,14.060118027695818,3956.232291877352,299.04137111006133,5631.078599776425,False,129446.0,31809.72536705244,91431.64166666666,8008.995999303048,11545.264399351065,6212.732586625146,3828.656549065136,1854.388623588598,241.14930232841925,4887.798965991575,5128.948268319994,1.738598332982382,389972.3061194772,1141886.534111061,1181675.919452339,2713534.759682877,178179.70539032543,558791.4821433636,131981.1978513586,868952.3853850475,1232510.7915534317,0.0,4814997.936621357,1204948.5588354785,0.0,0,True,19008.26311466463,0.0,económico LP + reserva multianual de degradación,25766.99298527926,1227.422492572754,5.001809191964304,2346.05349778695,-6.868686868686879,86.6699069283341,85.92230350055894,2.8239859177878763,1783321.6312636598,679059.4390834066,19.905592281939384
19,0.918,0.8592230350055894,0.7670898437499998,0.8517900837723109,17.236014082212122,17.086909080472555,14.065615827996192,3671.256536595287,297.3180493311397,5928.396649107564,False,129446.0,31671.7222201238,91431.64166666666,7997.537470980145,11601.27716629632,6240.895601742156,3808.922537975392,1841.3722647871296,241.24359675071105,4858.147462742464,5099.391059493176,1.7236014082212123,399149.7291775553,1176112.1494813242,1216708.4039441654,2791970.282603045,182634.19802508355,572761.2691969476,135280.72779764255,890676.1950196737,1263323.561342267,0.0,4945970.038964986,1146040.9261928378,0.0,0,True,18946.170382539745,0.0,económico LP + reserva multianual de degradación,25839.710239018623,1300.1397463121175,5.298135705751397,2484.0566447155907,-7.2727272727272645,85.92230350055894,85.17900837723109,2.9730909195274435,1790116.165098395,646933.1967985107,19.961768026063858
20,0.914,0.8517900837723109,0.7670898437499998,0.8444000455707991,17.086909080472555,16.938664914150227,14.071113628296562,3388.0096008924447,295.60152806047364,6223.998177168038,False,129446.0,31533.71907319516,91431.64166666666,7986.117197766183,11657.285563157146,6269.0611319959335,3789.272200594104,1828.4014705677812,241.3378911730028,4828.612597050598,5069.9504882236015,1.7086909080472557,408544.24770639685,1211334.912430923,1252754.467813908,2872633.627951228,187200.05297571063,587080.3009268712,138662.7459925836,912943.0998951654,1294906.650375824,0.0,5080483.378222217,1090008.6015436817,0.0,0,True,18884.101449842805,0.0,económico LP + reserva multianual de degradación,25912.463892919266,1372.8934002127608,5.594610552050223,2622.059791644231,-7.67676767676766,85.17900837723109,84.4400045570799,3.121335085849772,1796911.9534332242,616318.3954055472,20.017971890146676
